"Table1","Table2","JoinByTable1","JoinByTable2"
"cfc_carbonNitrogen","cfc_lignin","sampleID","sampleID"
"cfc_carbonNitrogen","cfc_LMA","sampleID","sampleID"
"cfc_chemistrySubsampling","cfc_chlorophyll","sampleID","sampleID"
"cfc_chemistrySubsampling","cfc_elements","sampleID","sampleID"
"cfc_chemistrySubsampling","cfc_lignin","sampleID","sampleID"
"cfc_chemistrySubsampling","cfc_LMA","sampleID","sampleID"
"cfc_chlorophyll","cfc_elements","sampleID","sampleID"
"cfc_chlorophyll","cfc_lignin","sampleID","sampleID"
"cfc_chlorophyll","cfc_LMA","sampleID","sampleID"
"cfc_elements","cfc_lignin","sampleID","sampleID"
"cfc_elements","cfc_LMA","sampleID","sampleID"
"cfc_lignin","cfc_LMA","sampleID","sampleID"
"bgc_CNiso_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"cfc_chlorophyllParameters","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"cfc_chlorophyllSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"cfc_elementsSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"lig_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"cfc_shapefile","Any other table","Join not recommended. This table provides metadata about canopy perimeter shapefiles collected during sampling. ","Join not recommended. This table provides metadata about canopy perimeter shapefiles collected during sampling. "
"ltr_pertrap","ltr_fielddata","trapID","trapID"
"ltr_fielddata","ltr_massdata","fieldSampleID","fieldSampleID"
"ltr_massdata","ltr_chemistrySubsampling","Not fully automatable: multiple massSampleIDs are pooled into massSampleIDList","Not fully automatable: multiple massSampleIDs are pooled into massSampleIDList"
"ltr_chemistrySubsampling","ltr_litterCarbonNitrogen","cnSampleID","cnSampleID"
"ltr_chemistrySubsampling","ltr_litterLignin","ligninSampleID","ligninSampleID"
"ltr_chemistrySubsampling","ltr_fielddata","Requires intermediate table: join via ltr_massdata table","Requires intermediate table: join via ltr_massdata table"
"ltr_fielddata","ltr_litterCarbonNitrogen","Requires intermediate table: join via the ltr_massdata and ltr_chemistrySubsampling tables","Requires intermediate table: join via the ltr_massdata and ltr_chemistrySubsampling tables"
"ltr_fielddata","ltr_litterLignin","Requires intermediate table: join via the ltr_massdata and ltr_chemistrySubsampling tables","Requires intermediate table: join via the ltr_massdata and ltr_chemistrySubsampling tables"
"ltr_litterCarbonNitrogen","ltr_litterLignin","massSampleMixtureID","massSampleMixtureID"
"ltr_litterCarbonNitrogen","ltr_massdata","Requires intermediate table: join via the ltr_chemistrySubsampling table","Requires intermediate table: join via the ltr_chemistrySubsampling table"
"ltr_litterLignin","ltr_massdata","Requires intermediate table: join via the ltr_chemistrySubsampling table","Requires intermediate table: join via the ltr_chemistrySubsampling table"
"bgc_CNiso_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"lig_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"ltr_pertrap","Any other table","Direct join not recommended: Data are collected only once at the establishment of each trap location. trapID is the linking variable.","Direct join not recommended: Data are collected only once at the establishment of each trap location. trapID is the linking variable."
"mos_pathogenpooling","mos_pathogenresults","testingVialID","testingVialID"
"mos_pathogenresults","mos_pathogenqa","batchID","batchID"
"mos_expertTaxonomistIDProcessed","mos_pathogenpooling","testingID","testingID"
"mos_expertTaxonomistIDRaw","mos_pathogenpooling","testingID","testingID"
"mos_trapping","mos_sorting","sampleID","sampleID"
"mos_sorting","mos_subsampling","Requires intermediate table: join via mos_expertTaxonomistID table (either Processed or Raw)","Requires intermediate table: join via mos_expertTaxonomistID table (either Processed or Raw)"
"mos_trapping","mos_subsampling","Requires intermediate table: join via mos_sorting table and mos_expertTaxonomistID table (either Processed or Raw)","Requires intermediate table: join via mos_sorting table and mos_expertTaxonomistID table (either Processed or Raw)"
"mos_sorting","mos_expertTaxonomistIDProcessed","subsampleID","subsampleID"
"mos_sorting","mos_expertTaxonomistIDRaw","subsampleID","subsampleID"
"mos_expertTaxonomistIDProcessed","mos_archivepooling","Requires intermediate table: join via mos_subsampling table","Requires intermediate table: join via mos_subsampling table"
"mos_expertTaxonomistIDRaw","mos_archivepooling","Requires intermediate table: join via mos_subsampling table","Requires intermediate table: join via mos_subsampling table"
"mos_archivepooling","mos_barcoding","Full join not recommended: tables not related","Full join not recommended: tables not related"
"mos_archivepooling","mos_sorting","Requires intermediate table: join via mos_sorting table and mos_expertTaxonomistID table (either Processed or Raw) and mos_subsampling table","Requires intermediate table: join via mos_sorting table and mos_expertTaxonomistID table (either Processed or Raw) and mos_subsampling table"
"mos_archivepooling","mos_subsampling","archiveID","archiveID"
"mos_archivepooling","mos_trapping","Requires intermediate table: join via mos_sorting and  mos_expertTaxonomistID table (either Processed or Raw) and mos_subsampling tables","Requires intermediate table: join via mos_sorting and  mos_expertTaxonomistID table (either Processed or Raw) and mos_subsampling tables"
"mos_barcoding","mos_expertTaxonomistIDProcessed","Not fully automatable: multiple individualIDs pooled into each individualIDList","Not fully automatable: multiple individualIDs pooled into each individualIDList"
"mos_barcoding","mos_expertTaxonomistIDRaw","Not fully automatable: multiple individualIDs pooled into each individualIDList","Not fully automatable: multiple individualIDs pooled into each individualIDList"
"mos_barcoding","mos_sorting","Not fully automatable: multiple individualIDs pooled into each individualIDList","Not fully automatable: multiple individualIDs pooled into each individualIDList"
"mos_barcoding","mos_subsampling","Not fully automatable: multiple individualIDs pooled into each individualIDList","Not fully automatable: multiple individualIDs pooled into each individualIDList"
"mos_barcoding","mos_trapping","Not fully automatable: multiple individualIDs pooled into each individualIDList","Not fully automatable: multiple individualIDs pooled into each individualIDList"
"mos_expertTaxonomistIDProcessed","mos_expertTaxonomistIDRaw","subsampleID,scientificName,sex","subsampleID,scientificName,sex"
"mos_expertTaxonomistIDProcessed","mos_subsampling","subsampleID,scientificName,sex","subsampleID,scientificName,sex"
"mos_expertTaxonomistIDProcessed","mos_trapping","Requires intermediate table: join via mos_sorting table","Requires intermediate table: join via mos_sorting table"
"mos_expertTaxonomistIDRaw","mos_subsampling","subsampleID,scientificName,sex","subsampleID,scientificName,sex"
"mos_expertTaxonomistIDRaw","mos_trapping","Requires intermediate table: join via mos_sorting table","Requires intermediate table: join via mos_sorting table"
"mos_identificationHistory","Any other table","Full join not recommended: Previous identifications of the same individual can be linked by identificationHistoryID in the mos_expertTaxonomistID table (either Processed or Raw)","Full join not recommended: Previous identifications of the same individual can be linked by identificationHistoryID in the mos_expertTaxonomistID table (either Processed or Raw)"
"spc_perplot","spc_perhorizon","pitID","pitID"
"spc_perhorizon","spc_bulkdensity","horizonID","horizonID"
"spc_perhorizon","spc_particlesize","horizonID","horizonID"
"spc_perhorizon","spc_biogeochem","horizonID","horizonID"
"spc_biogeochem","spc_bulkdensity","horizonID","horizonID"
"spc_biogeochem","spc_particlesize","biogeoIDnrcs,biogeoCode","biogeoIDnrcs,biogeoCode"
"spc_biogeochem","spc_perplot","Requires intermediate table: join via spc_perhorizon table","Requires intermediate table: join via spc_perhorizon table"
"spc_bulkdensity","spc_particlesize","horizonID","horizonID"
"spc_bulkdensity","spc_perplot","Requires intermediate table: join via spc_perhorizon table","Requires intermediate table: join via spc_perhorizon table"
"spc_particlesize","spc_perplot","Requires intermediate table: join via spc_perhorizon table","Requires intermediate table: join via spc_perhorizon table"
"spc_externalLabSummary","Any other table","Join not recommended. Data can be related by laboratoryName, analyte, sampleType, and overlap of analysisStartDate with externalLabSummary dates","Join not recommended. Data can be related by laboratoryName, analyte, sampleType, and overlap of analysisStartDate with externalLabSummary dates"
"phe_perindividual","phe_perindividualperyear","individualID","individualID"
"phe_perindividual","phe_statusintensity","individualID","individualID"
"phe_perindividualperyear","phe_statusintensity","Not fully automatable: join by individualID, then by year as calculated from the date in each table","Not fully automatable: join by individualID, then by year as calculated from the date in each table"
"div_1m2Data","div_10m2Data100m2Data","Direct join not recommended. See Standard calculations.","Direct join not recommended. See Standard calculations."
"div_geneticarchive","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"div_morphospecies","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"div_voucher","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"rpt_bloodtesting","mam_pertrapnight","bloodSampleID","bloodSampleID"
"rpt2_pathogentesting","mam_pertrapnight","sampleID","Not fully automatable: pathogen testing results should be filtered to sampleIDs ending in either .E or .B and joined to mammal data via the earSampleID or via the bloodSampleID respectively."
"rpt2_pathogentesting","rpt2_pathogenqa","batchID","batchID"
"mpr_perpitprofile","mpr_perdepthincrement","pitProfileID","pitProfileID"
"mpr_perdepthincrement","mpr_perrootsample","depthIncrementID","depthIncrementID"
"mpr_perrootsample","mpr_carbonNitrogen","sampleID","cnSampleID"
"mpr_carbonNitrogen","mpr_perdepthincrement","Requires intermediate table: join via mpr_perrootsample table",""
"mpr_carbonNitrogen","mpr_perpitprofile","Requires intermediate table: join via mpr_perdepthincrement and mpr_perrootsample tables",""
"mpr_perpitprofile","mpr_perrootsample","Requires intermediate table: join via mpr_perdepthincrement table",""
"bgc_CNiso_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.",""
"bbc_percore","bbc_rootmass","sampleID","sampleID"
"bbc_percore","bbc_dilution","sampleID","sampleID"
"bbc_rootmass","bbc_chemistryPooling","Not fully automatable: multiple subsampleIDs are pooled into each subsampleIDList","Not fully automatable: multiple subsampleIDs are pooled into each subsampleIDList"
"bbc_chemistryPooling","bbc_rootChemistry","cnSampleID","cnSampleID"
"bbc_chemistryPooling","bbc_dilution","Requires intermediate table: join via bbc_rootmass table","Requires intermediate table: join via bbc_rootmass table"
"bbc_chemistryPooling","bbc_percore","Requires intermediate table: join via the bbc_rootmass table","Requires intermediate table: join via the bbc_rootmass table"
"bbc_chemistryPooling","bbc_rootChemistry","cnSampleID","cnSampleID"
"bbc_dilution","bbc_rootChemistry","Requires intermediate table: join via the bbc_rootmass and bbc_chemistryPooling tables","Requires intermediate table: join via the bbc_rootmass and bbc_chemistryPooling tables"
"bbc_dilution","bbc_rootmass","sampleID","sampleID"
"bbc_percore","bbc_rootChemistry","Requires intermediate table: join via the bbc_rootmass and bbc_chemistryPooling tables","Requires intermediate table: join via the bbc_rootmass and bbc_chemistryPooling tables"
"bbc_rootChemistry","bbc_rootmass","Requires intermediate table: join via the bbc_chemistryPooling table","Requires intermediate table: join via the bbc_chemistryPooling table"
"bgc_CNiso_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"mam_perplotnight","mam_pertrapnight","nightuid","nightuid"
"mam_pertrapnight","mam_voucher","Full join not recommended: tables not related. Vouchers listed here reflect vouchers collected outside of normal mammal trapping activities during other NEON sampling protocols.","Full join not recommended: tables not related. Vouchers listed here reflect vouchers collected outside of normal mammal trapping activities during other NEON sampling protocols."
"mam_perplotnight","mam_voucher","Requires intermediate table: Join via mam_pertrapnight table.","Requires intermediate table: Join via mam_pertrapnight table."
"mcc_soilTaxonTableMetadata_16S","mcc_soilTaxonTableMetadata_ITS","dnaSampleID","dnaSampleID"
"mcc_taxonTableLabSummary","mcc_soilTaxonTableMetadata_16S","testMethod","testMethod"
"mcc_taxonTableLabSummary","mcc_soilTaxonTableMetadata_ITS","testMethod","testMethod"
"sls_soilCoreCollection","sls_soilMoisture","sampleID","sampleID"
"sls_soilCoreCollection","sls_soilpH","sampleID","sampleID"
"sls_soilCoreCollection","sls_bgcSubsampling","sampleID","sampleID"
"sls_soilCoreCollection","sls_metagenomicsPooling","Not fully automatable: multiple sampleIDs are pooled into genomicsPooledIDList","Not fully automatable: multiple sampleIDs are pooled into genomicsPooledIDList"
"sls_bgcSubsampling","sls_soilChemistry","cnSampleID","cnSampleID"
"ntr_internalLab","ntr_internalLabBlanks","kclReferenceID","kclReferenceID"
"sls_soilCoreCollection","ntr_internalLab","sampleID","sampleID"
"ntr_internalLab","ntr_externalLab","kclSampleID","kclSampleID"
"ntr_externalLab","ntr_internalLabBlanks","Not fully automatable: kclSampleID in ntr_externalLab includes samples labeled as kclBlank1ID, kclBlank2ID, and kclBlank3ID in ntr_internalLabBlanks","Not fully automatable: kclSampleID in ntr_externalLab includes samples labeled as kclBlank1ID, kclBlank2ID, and kclBlank3ID in ntr_internalLabBlanks"
"ntr_externalLab","sls_bgcSubsampling","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from other chemical analyses","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from other chemical analyses"
"ntr_externalLab","sls_metagenomicsPooling","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from genomic sequencing","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from genomic sequencing"
"ntr_externalLab","sls_soilChemistry","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from other chemical analyses","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from other chemical analyses"
"ntr_externalLab","sls_soilCoreCollection","sampleID","sampleID"
"ntr_externalLab","sls_soilMoisture","sampleID","sampleID"
"ntr_externalLab","sls_soilpH","sampleID","sampleID"
"ntr_internalLab","sls_bgcSubsampling","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from other chemical analyses","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from other chemical analyses"
"ntr_internalLab","sls_metagenomicsPooling","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from genomic sequencing","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from genomic sequencing"
"ntr_internalLab","sls_soilChemistry","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from other chemical analyses","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from other chemical analyses"
"ntr_internalLab","sls_soilMoisture","sampleID","sampleID"
"ntr_internalLab","sls_soilpH","sampleID","sampleID"
"ntr_internalLabBlanks","sls_bgcSubsampling","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples"
"ntr_internalLabBlanks","sls_metagenomicsPooling","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples"
"ntr_internalLabBlanks","sls_soilChemistry","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples"
"ntr_internalLabBlanks","sls_soilCoreCollection","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples"
"ntr_internalLabBlanks","sls_soilMoisture","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples"
"ntr_internalLabBlanks","sls_soilpH","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples"
"sls_bgcSubsampling","sls_metagenomicsPooling","Not fully automatable: can be joined via the sls_soilCoreCollection table","Not fully automatable: can be joined via the sls_soilCoreCollection table"
"sls_bgcSubsampling","sls_soilMoisture","sampleID","sampleID"
"sls_bgcSubsampling","sls_soilpH","sampleID","sampleID"
"sls_metagenomicsPooling","sls_soilChemistry","Not fully automatable: can be joined via the sls_soilCoreCollection table","Not fully automatable: can be joined via the sls_soilCoreCollection table"
"sls_metagenomicsPooling","sls_soilMoisture","Not fully automatable: can be joined via the sls_soilCoreCollection table","Not fully automatable: can be joined via the sls_soilCoreCollection table"
"sls_metagenomicsPooling","sls_soilpH","Not fully automatable: can be joined via the sls_soilCoreCollection table","Not fully automatable: can be joined via the sls_soilCoreCollection table"
"sls_soilChemistry","sls_soilCoreCollection","sampleID","sampleID"
"sls_soilChemistry","sls_soilMoisture","sampleID","sampleID"
"sls_soilChemistry","sls_soilpH","sampleID","sampleID"
"sls_soilMoisture","sls_soilpH","sampleID","sampleID"
"bgc_CNiso_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"ntr_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"tck_pathogen","tck_taxonomyProcessed","subsampleID","subsampleID"
"tck_pathogen","tck_taxonomyRaw","subsampleID","subsampleID"
"tck_pathogen","tck_pathogenqa","batchID","batchID"
"tck_fielddata","tck_taxonomyProcessed","sampleID","sampleID"
"tck_fielddata","tck_taxonomyRaw","sampleID","sampleID"
"tck_taxonomyProcessed","tck_taxonomyRaw","sampleID","sampleID"
"vst_perplotperyear","vst_mappingandtagging","Join not recommended: vst_perplotperyear and vst_mappingand tagging represent different temporal resolution","Join not recommended: vst_perplotperyear and vst_mappingand tagging represent different temporal resolution"
"vst_mappingandtagging","vst_apparentindividual","individualID","individualID"
"vst_perplotperyear","vst_apparentindividual","Join not recommended: vst_perplotperyear provides annual metadata at the plot level","Join not recommended: vst_perplotperyear provides annual metadata at the plot level"
"vst_shrubgroup","vst_perplotperyear","Join not recommended: vst_perplotperyear provides annual metadata at the plot level","Join not recommended: vst_perplotperyear provides annual metadata at the plot level"
"vst_shrubgroup","vst_apparentindividual","Join not recommended: vst_shrubgroup and vst_apparentindividual represent non-overlapping sets of plants","Join not recommended: vst_shrubgroup and vst_apparentindividual represent non-overlapping sets of plants"
"vst_mappingandtagging","vst_shrubgroup","Join not recommended: shrubs are not mapped","Join not recommended: shrubs are not mapped"
"vst_shrubgroup","vst_non-woody","Join not recommended: vst_shrubgroup and vst_non-woody represent non-overlapping sets of plants","Join not recommended: vst_shrubgroup and vst_non-woody represent non-overlapping sets of plants"
"vst_non-woody","vst_perplotperyear","Join not recommended: vst_perplotperyear provides annual metadata at the plot level","Join not recommended: vst_perplotperyear provides annual metadata at the plot level"
"vst_non-woody","vst_apparentindividual","Join not recommended: vst_non-woody and vst_apparentindividual represent non-overlapping sets of plants","Join not recommended: vst_non-woody and vst_apparentindividual represent non-overlapping sets of plants"
"vst_mappingandtagging","vst_non-woody","individualID","individualID"
"sme_microbialBiomass","sme_batchResults","batchID","batchID"
"sme_microbialBiomass","sls_soilCoreCollection","biomassID","biomassID"
"sme_labSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"mms_metagenomeDnaExtraction","mms_metagenomeSequencing","dnaSampleID","dnaSampleID"
"mms_metagenomeSequencing","mms_rawDataFiles","dnaSampleID","dnaSampleID"
"mms_metagenomeDnaExtraction","mms_rawDataFiles","dnaSampleID","dnaSampleID"
"mmg_soilDnaExtraction","mmg_soilPcrAmplification_16S","dnaSampleID","dnaSampleID"
"mmg_soilDnaExtraction","mmg_soilPcrAmplification_ITS","dnaSampleID","dnaSampleID"
"mmg_soilPcrAmplification_16S","mmg_soilMarkerGeneSequencing_16S","dnaSampleID","dnaSampleID"
"mmg_soilPcrAmplification_ITS","mmg_soilMarkerGeneSequencing_ITS","dnaSampleID","dnaSampleID"
"mmg_soilMarkerGeneSequencing_16S","mmg_soilRawDataFiles","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID"
"mmg_soilMarkerGeneSequencing_ITS","mmg_soilRawDataFiles","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID"
"mmg_soilDnaExtraction","sls_soilCoreCollection","geneticSampleID","geneticSampleID"
"mmg_soilMarkerGeneSequencing_16S","mcc_soilSeqVariantMetadata_16S","dnaSampleID","dnaSampleID"
"mmg_soilMarkerGeneSequencing_ITS","mcc_soilSeqVariantMetadata_ITS","dnaSampleID","dnaSampleID"
"mmg_soilDnaExtraction","mmg_soilMarkerGeneSequencing_16S","Requires intermediate table: join via mmg_soilPcrAmplification_16S table","Requires intermediate table: join via mmg_soilPcrAmplification_16S table"
"mmg_soilDnaExtraction","mmg_soilMarkerGeneSequencing_ITS","Requires intermediate table: join via mmg_soilPcrAmplification_ITS table","Requires intermediate table: join via mmg_soilPcrAmplification_ITS table"
"mmg_soilDnaExtraction","mmg_soilRawDataFiles","dnaSampleID","dnaSampleID"
"mmg_soilMarkerGeneSequencing_16S","mmg_soilMarkerGeneSequencing_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_soilMarkerGeneSequencing_16S","mmg_soilPcrAmplification_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_soilMarkerGeneSequencing_ITS","mmg_soilPcrAmplification_16S","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_soilPcrAmplification_16S","mmg_soilPcrAmplification_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
