Data Product,DPID,Measurement,Collection methodology,Images,Image legend,Maintenance and calibration,"Download contents - file list to be populated dynamically by portal. For this section, review current table descriptions.",Data processing and derivation,Data quality,Standard calculations,Table joining,More information,DP citation,"DPUG review comments - for OS data products, provide input on current DPUG here.","Data accessibility/documentation comments - for all data products, provide feedback on accessibility, clarity, any general data use issues.",
2D wind speed and direction,DP1.00001.001,Two-dimensional wind speed (m/sec) and direction (degree),"2D wind speed and direction is measured using a solid-state anemometer at the top of the aquatic meteorological station, and on each measurement level of the tower, excluding the tower top. Measurement level height is determined on a site-specific basis. Measurements are representive of a spatial point throughout time and are made at 0.1 Hz. Data are published as 2- and 30-minute temporally averaged data products.",,,Preventative maintenance includes cleaning and removing debris from the sensor. It is typically performed every two weeks. Sensor validation is performed annually.,"All the info needed is there, but I noticed it did not list the data files in the same order as they are presented in the zip file. Not really an issue, just looked kind of strange.",,"Each measurement is accompanied by a final quality flag (windSpeedFinalQF and windDirFinalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step and spike, as well as a manually set science review flag, if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (windSpeedExpUncert and windDirExpUncert) which comprises known and quantifiable uncertainties.","Sensor height (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the tower reference corner or aquatic meteorological station base are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. HOR index 000 corresponds to the tower, and VER indices 010-070 increase with increasing height.",,,,,,
Barometric pressure,DP1.00004.001,Barometric pressure in kilopascal (kPa),Barometric pressure is measured using a digital barometer at the aquatic meteorological station and at the tower. The height of the sensor is determined on a site-specific basis. Measurements are representive of a spatial point throughout time and are made at 0.1 Hz. Data are published as 1- and 30- minute temporally averaged data products.,,,"Preventative maintenance includes checking the LED indicator that shows the sensor is streaming, this is typically performed every two weeks. Calibration is performed annually.","Reviewed, found no issues",,"Each measurement is accompanied by a final quality flag (staPresFinalQF and corPresFinalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step and spike, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (staPresExpUncert and corPresExpUncert) which comprises known and quantifiable uncertainties.","Sensor height (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the tower reference corner or aquatic meteorological station base are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. HOR index 000 correspond to the tower, and VER indices 000-035 correspond to the measurement level.",,,,,,
Photosynthetically active radiation (PAR),DP1.00024.001,The number of photons within the visible spectrum (between 400 to 700 nm) in micromoles per square meter per second (μmol/s/m^2),"Photosynthetically active radiation (PAR) is measured using an upward-facing radiation sensor on the aquatic meteorological station and at each measurement level on the tower, with an additional downward-facing PAR located at the tower top. The height of each measurement level is determined on a site-specific basis. Measurements represent a point, are made at 1 Hz, and data are published in 1- and 30-minute averaging intervals.",,,"Preventative maintenance includes cleaning the sensor when there is an excess amount of pollen and/or dust, and is typically performed every two weeks. Sensors are calibrated annually.","Reviewed, found no issues",,"Each measurement is accompanied by a final quality flag (PARFinalQF and outPARFinalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by its 95% confidence interval (PARExpUncert and outPARExpUncert) based only on known and quantified uncertainties.","Sensor height (zOffset; m),the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the tower reference corner or aquatic meteorological station base are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. HOR index 000 correspond to the tower, and VER indices 010-080 increase with increasing height.",,,,,,
Photosynthetically active radiation (quantum line),DP1.00066.001,The number of photons within the visible spectrum (between 400 to 700 nm) in micromoles per square meter per second (μmol/s/m^2),"Photosynthetically active radiation (quantum line) is measured using a 1-meter long radiation sensor at deployed in three of the five soil plots.  Measurements represent a point, are made at 1 Hz, and data are published in 1- and 30-minute averaging intervals.",,Sensor-based soil plot at D08 LENO. Not all measurements are made in every soil plot. ,Preventative maintenance includes cleaning the sensor ever two weeks. Sensors are calibrated annually.,"Reviewed, found no issues",,"Each measurement is accompanied by a final quality flag (finalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by its 95% confidence interval (linePARExpUncert) based only on known and quantified uncertainties.","Sensor height (zOffset; m), the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the soil plot reference corner are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. HOR indices 001-005 correspond to soil plots 1-5, and VER index 000 corresponds to the nominal soil surface.",,,,,,
Breeding landbird point counts,DP1.10003.001,"Count of all individual birds, species identification, and age and sex when possible during a 6 minute observation period. Additional metadata collected includes horizontal distance of bird from the observer, average windspeed, temperature, start and ending cloud cover percent, and relative humidity.","Point counts at all sites are conducted by local contracted experts. At larger sites, point counts occur once per breeding season at 5-15 nine point grids with the grid centers colocated with the center of Distributed Base Plots. At smaller sites (cannot accommodate the minimum of 5 grids) point counts will be conducted from the southwest corner (point 21) of 5-25 Distributed Base Plots, twice per breeding season. All point counts are six minutes long. The observer detects birds through visual (binoculars and laser rangefinder), auditory (singing or drumming), flyover, or other aural (e.g. wing beats) means. ",,"Design of the point count grid, consisting of 9
points separated by a minimum of 250 m. The center
of the grid is just offset from a Distributed plot (green
circle).",NA,,,"Breeding landbird point counts are conducted by an external contractor. Quality checks conducted before data
are returned to NEON include a 100% check of all data entered into the contractor database to eliminate transcription errors and an ""uncommon bird"" checkto look for potentially misidentified bird species. Field data is transcribed from the datasheet no later than 14 days after collection including all notes and deviations from procedures. All datasheets are scanned, filed as hardcopy to be mailed to NEON sciec at the end of the sampling season. The ""uncommon bird"" check is conducted by cantractor staff and partners where by the proofer uses local knowledge, eBird records, field guides, and contact the technician who collected the record for supporting documentation to validate the record. ",,See DP1.10003.001 Tables tab,,,,,
Site management and event reporting,DP1.10111.001,"Records of ecologically notable events and land management activities that could have a potential effect on NEON data products. Data include: date, location, type, and a quantified extent of the event when applicable","Information on site events, planned and unplanned, are gathered thorugh direct observation by NEON technicians during scheduled site visits, and through secondary reporting by site hosts, landowners, or other reliable sources. Reporting occurs for all sites and all data-generating systems (TIS, TOS, AIS, AOS, AOP) affected by events. ",,,N/A,,,"Quality control measures are include variable constraints at point of entry and during injest, and review of data by NEON staff.",N/A,Site event data relates to other data products through siteID and time range.,,,,,
Soil physical properties (Distributed initial characterization),DP1.10047.001,"Physical properties of a soil core sample including bulk density, particle size, coarse fragments, and taxonomic identification of soil horizons.","Analysis performed by the NRCS as part of the initial site characterization activities. Site variability and soil map units were used to select between 10-34 base plots for sampling, up to 4 tower and 30 distributed per site. In most plots a 1 m x 1 m x 1 m soil pit was excavated. Where a pit sample was not permitted a bucket auger was used to take a 10 cm diameter core to 1 m. Precise sampling locations within each plot were recorded so as to not interfere with other sampling activities. The NRCS described the profile of all major horizons, visually estimated very coarse fragment volumes, and collected samples for physical and chemical analyses by horizon.",,Diagram showing the location of reference corners and an example calculation of sample location using distance and bearing measurments,N/A,"Reviewed, no issues.",,"Prior to submission, the field and laboratory data undergo standard analytical quality control procedures by the NRCS. Additional checks occur automatically upon submission of data to NEON according to pre-defined data quality constraints and validation rules. Data entry constraints are provided with every data download.  Contained within this file is a field named ‘entryValidationRulesParser’, which describes syntactically the validation rules for each field built into the data ingest process. The dataQF field is used to flag data quality issues manually discovered after data submission. ",N/A,"Tables spc_bulkDensity, spc_particleSize, and spc_perHorizon may be joined by the horizonID. The field table spc_perPlot can be joined to the spc_perHorizon table by the pitID.",,,,,
Soil physical properties (Distributed periodic),DP1.10086.001,"Field and laboratory measurements for soil cores including pH, soil moisture, and key field metadata such as soil temperature and core depth. Includes the basic information on soil sub-samples generated for biogeochemical and microbial analyses and for archiving.","A core is taken from three pre-determined, randomly assigned X,Y locations at 10, 40x40 m NEON terrestrial base plots: four sites within the tower airshed and six distributed plots. Distributed plots are chosen using the National Land Cover Database.  Sampling is conducted up to 3 times per year at most sites. Soil cores are split by horizon type and collected to a maximum depth of 30 cm. Aseptic sampling methods are used when sampling for molecular analyses. Sampling during peak greenness may include a plot-level pooled sample for microbial metaganomics.  Once every 5 years per site, inorganic nitrogen pools and C and N stable isotopes are measured.   ",,Representation of a NEON base plot. Soil sampling occurs within the outer region of a 40 x 40 m base plot to avoid disturbing plant sampling activities in the inner plot area.,N/A,"Reviewed, no issues.",,"Quality control is implemented at the point of data entry within a mobile data entry application. Numerous quality flagging fields exist for field staff to note issues related to horizon identification and sample integrity, among others: the full list of quality flagging fields and potential values is provided in the Data Product User Guide. Additional constraints are implemented during automated ingest to the NEON database. The dataQF field is used to flag data quality issues manually discovered after data submission.",,"Tables sls_soilCoreCollection, sls_soilMoisture, and sls_soilpH, and sls_bgcSubsampling may be joined by the sampleID. sls_metagenomicsPooling may be joined by first splitting up the genomicsPooledIDList into separate sampleID's, then joining with the other tables.",,,"This DPUG was unavailable.  I accessed via the data portal, clicked the link at the bottom of the page was taken to this address -> https://data.neonscience.org/api/v0/documents/NEON_soils_userGuide_vC  _> this error was returned {""error"":{""status"":404,""detail"":""Document not found""},""data"":null}",,
Soil chemical properties (Distributed initial characterization),DP1.10008.001,"Laboratory measurements of the chemical and geochemical properties of soils at each NEON site, including soil C,N,P, major elements, and metals. Executed by the Soil Science Division of the NRCS, in partnership with the USDA Agriculture Research Service (ARS).","Analysis performed by the NRCS as part of the initial site characterization activities. Site variability and soil map units were used to select between 10-34 base plots for sampling, up to 4 tower and 30 distributed per site. In most plots a 1 m x 1 m x 1 m soil pit was excavated. Where a pit sample was not permitted a bucket auger was used to take a 10cm diameter core to 1 m. A representative soil sample for each horizon measured was collected for chemical analyses at the Kellog Soil Survey Laboratory using standard NRCS methods.",,Diagram showing the location of reference corners and an example calculation of sample location using distance and bearing measurments,N/A,"Reviewed, no issues.","Self contained data product.  Site level plot summary, and pedon description.  ","Prior to submission, the laboratory data undergo standard analytical quality control procedures by the NRCS. Additional checks occur automatically upon submission of data to NEON according to pre-defined data quality constraints and validation rules. Data entry constraints are provided with every data download. Contained within this file is a field named ‘entryValidationRulesParser’, which describes syntactically the validation rules for each field built into the data ingest process. The dataQF field is used to flag data quality issues manually discovered after data submission. ",,"Table spc_biogeochem may be joined to spc_perhorizon, spc_bulkdensity, and spc_particlesize by the horizonID. The lab summary table spc_externalSummary can be associated with data generated in the spc_biogeochem table within the laboratoryName x analyte x sampleType x labSpecific-StartDate combination.",,,There are typos in this DPUG:  ....... Science Division of the Natural Resoures Conservation Service (NRCS)....,,
Soil chemical properties (Distributed periodic),DP1.10078.001,"Laboratory measurements of the chemical and geochemical properties of soils at each NEON terrestrial site, including total carbon and nitrogen concentration in surface soils, and stable isotopes. ","A core is taken from three pre-determined, randomly assigned X,Y locations at 10, 40x40 NEON terrestrial base plots: four sites within the tower airshed and six distributed plots. Distributed plots are chosen using the National Land Cover Database.  Sampling is conducted once every 5 years at a site during the period of peak greenness/productivity. Soil cores are split by horizon type (organic and mineral) and collected to a maximum depth of 30 cm. The same soil cores are also sub-sampled for microbial analyses and for measurements of inorganic nitrogen transformation rates.
",,Representation of a NEON base plot. Soil sampling occurs within the outer region of a 40 x 40 m base plot to avoid disturbing plant sampling activities in the inner plot area.,N/A,"Reviewed, no issues.",,"Analytical labs calibrate each run with primary reference materials, and include secondary reference materials analyzed as unknowns alongside NEON samples in order to gauge run acceptability. Labs communicate run-level issues with the accuracy of secondary reference materials, as well as record-level issues with samples or measurements using the cnPercentQF and percent AccuracyQF flags. Long-term analytical precision and accuracy of secondary reference material analyses are reported along with their uncertainty ranges in the externalSummary data table.",,"Table sls_soilStableIsotopes can be joined with sls_bgcSubsampling by the cnSampleID. One record is expected per cnSampleID x analyticalRepNumber. Table sls_soilChemistry is expected to have one record per cnSampleID x analyticalRepNumber and can be joined to sls_soilStableIsotopes by the cnSampleID. The summary table bgc_CNiso_externalSummary is expected to have one record per laboratoryName x analyte x sampleType x lab-
SpecificStartDate: these variables exist in the isotope and chemistry tables and can be used to associate sample data with relevant uncertainty values.",,,,,
Air temperature above water on-buoy,DP1.20046.001,Air temperature at the buoy in degrees Celsius (C),"Air temperature above water on-buoy is measured using the relative humidity and temperature sensor on the buoy. Measurements represent a point, are made at 0.01667 Hz, and data are published as 1-minute instantaneous measurements and 30-minute averages.",,,"Sensors are calibrated prior to deployment on the buoy and recalibrated on an annual basis. Preventative maintenance and cleanings are done on biweekly, monthly, and quarterly intervals or as-needed.","Readme calls the reported 1-minute measurements ""instantaneous measurements"" in the Abstract and 1-minute ""averages"" in the table descriptions. Bit of a semantic difference since the values are the same but that could be clearer if consistent throughout the document",NA,"Each measurement is accompanied by a final quality flag (tempRHFinalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, gap, and spike tests, as well as a manually set science review flag if applicable (tempRHFinalQFSciRvw). Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (tempRHExpUncert), which comprises known and quantifiable uncertainties.","Sensor height (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (referenceElevation; m) of the relative humidity and temperature sensor on the buoy are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file.",NA,,,,Documentation seems good and relevant,
Barometric pressure above water on-buoy,DP1.20004.001,Barometric pressure at the buoy and barometric pressure corrected to sea level in kilopascals (kPa),"Barometric pressure above water on-buoy is measured using a digital barometer on the buoy. Measurements represent a point, are made at 0.01667 Hz, and data are published as 1-minute instantaneous measurements and 30-minute averages.",,,"Sensors are calibrated prior to deployment on the buoy and recalibrated on an annual basis. Preventative maintenance and cleanings are done on biweekly, monthly, and quarterly intervals or as-needed.","Readme calls the reported 1-minute measurements ""instantaneous measurements"" in the Abstract and 1-minute ""averages"" in the table descriptions. Bit of a semantic difference since the values are the same but that could be clearer if consistent throughout the document",NA,"Each measurement is accompanied by a final quality flag (staPresFinalQF, corPresFinalQF, etc.). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable (staPresFinalQFSciRvw, corPresFinalQFSciRvw). Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (staPresExpUncert, corPresExpUncert), which comprises known and quantifiable uncertainties.","Sensor height (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (referenceElevation; m) of the barometer on the buoy are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file.",NA,,,,Documentation seems good and relevant,
Photosynthetically active radiation at water surface,DP1.20042.001,The number of photons within the visible spectrum (between 400 to 700 nm) in micromoles per square meter per second (μmol/s/m^2),"Photosynthetically active radiation (PAR) is measured using and upward-facing radiation sensor located atop the in-stream infrastructure above the surface of the water at both sensor sets at stream sites. PAR above water surface will be measured from a buoy deployment at lake and river sites. The exact height of the sensor is determined on a site-specific basis. Measurements represent a point, are made at 1 Hz, and data are published in 1, 5 and 30 minute averaging intervals.",,,"Preventative maintenance includes cleaning the sensor with a microfiber towel, and checking the sensor level. This maintenance is typically performed every two weeks. Sensors are calibrated annually.","Reviewed, found no issues",,"Each measurement is accompanied by a final quality flag (PARfinalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by its 95% confidence interval (PARExpUncert) based only on known and quantified uncertainties.","Sensor height (zOffset; m), the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the in stream infrastructure base are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. An HOR of 101 or 111 correspond to Sensor Set 1 (upstream) and HOR of 102 or 112 correspond to Sensor Set 2 (downstream).  An HOR of 103 correspond to buoys.",,,,,,
Photosynthetically active radiation below water surface,DP1.20261.001,Photosynthetically active radiation below the water's surface.,"Radiation flux at wavelengths between 400-700 nm is measured using an upward-facing Photosynthetically Active Radiation (PAR) sensor located under the water on both lake and river buoys, and littoral zone of lakes. Measurements represent a point, are made at 1 Hz, and data are published in one- and thirty-minute averaging intervals.",,,Preventative maintenance including cleaning of the sensor is typically preformed every 2 weeks and calibration is performed annually.,"Reviewed, found no issues",,"Each measurement is accompanied by a final quality flag (PARfinalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by its 95% confidence interval (PARExpUncert) based only on known and quantified uncertainties.","Sensor height (zOffset; m), the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the infrastructure base are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. An HOR of 103 corresponds to buoys. HORs of 130 and 140 correspond to littoral zones of lakes.",,,To be auto-generated,,,
Discrete return LiDAR point cloud,DP1.30003.001,"Discrete return LiDAR point cloud contains coordinate locations for each laser return of the underlying sampled surface presented in a three-dimensional (x,y,z), orthorectified and unclassified LAS format. L1 LiDAR point clouds are distributed in their original flight lines with one flight line per file. ","NEON AOP instruments, including the full waveform LiDAR, are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. Data are acquired at a minimum density of 4 LiDAR shots per square meter in non-overlap areas. NEON AOP LiDAR returns are full waveforms, from which up to 5 points per shot may be discretized. All AOP data are acquired in individual flight lines (typically 600m wide by 5 to 20 km long). NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"The NEON AOP LiDAR is calibrated every winter between flight seasons. Calibration/validation flights for horizontal, vertical, and timing accuracy are conducted at the beginning and end of every flight season. Nominal runway flights are conducted in each domain flown during the flight season to ensure there is no accuracy drift. Field validation exercises collecting GPS points are typically conducted once per flight season.",,Raw discrete LiDAR data are processed to projected and corrected L1 LAZ point clouds in their original flight lines.,"A quality report for each flight used in producing the data product, describing weather conditions and other data quality considerations during flight is included with the L1 data download. Also included are uncertainty point clouds in LAZ format and processing quality report PDFs.",,N/A,[Document list; to be populated dynamically],To be auto-generated,,,
LiDAR slant range waveform,DP1.30001.001,"The waveform product saves the continuously received relative signal intensity over time of each outgoing laser pulse of the lidar, georeferenced and provided by individual flightline in a binary NEON format.","NEON AOP instruments, including the full waveform LiDAR, are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. Data are acquired at a minimum density of 4 LiDAR shots per square meter in non-overlap areas. NEON AOP LiDAR returns are full waveforms, from which up to 5 points per shot may be discretized. All AOP data are acquired in individual flight lines (typically 600m wide by 5 to 20 km long). NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"The NEON AOP LiDAR is calibrated every winter between flight seasons. Calibration/validation flights for horizontal, vertical, and timing accuracy are conducted at the beginning and end of every flight season. Nominal runway flights are conducted in each domain flown during the flight season to ensure there is no accuracy drift. Field validation exercises collecting GPS points are typically conducted once per flight season.",,"Lidar algorithms identify targets in the returned signal back to receiver by calculating the time elapsed between pulse generation and returned signal, which is then used to determine the range. GPS and IMU data are then used to determine the ground vectors of each returned signal.","A quality report for each flight used in producing the data product, describing weather conditions and other data quality considerations during flight is included with the L1 data download. Also included are uncertainty point clouds in LAZ format and processing quality report PDFs.",,N/A,[Document list; to be populated dynamically],To be auto-generated,,,
Slope and Aspect - LiDAR,DP3.30025.001,"Slope measures the gradient of how steep a surface is determined by the ratio of rise over run of the surveyed surface. Aspect measures the direction of the previous identified slope, measured in degrees referenced to grid north. Both are presented in GeoTiff raster format, divided into 1 km by 1 km tiles.","NEON AOP instruments, including the full waveform LiDAR, are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. Data are acquired at a minimum density of 4 LiDAR shots per square meter in non-overlap areas. NEON AOP LiDAR returns are full waveforms, from which up to 5 points per shot may be discretized. All AOP data are acquired in individual flight lines (typically 600m wide by 5 to 20 km long). NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"The NEON AOP LiDAR is calibrated every winter between flight seasons. Calibration/validation flights for horizontal, vertical, and timing accuracy are conducted at the beginning and end of every flight season. Nominal runway flights are conducted in each domain flown during the flight season to ensure there is no accuracy drift. Field validation exercises collecting GPS points are typically conducted once per flight season.",,Raw discrete LiDAR data are processed to projected and corrected L1 LAZ point clouds in their original flight lines. Last (lowest elevation) returns are gridded to 1 m pixels to create a bare earth digital elevation model (DEM). Triangulation and interpolation are used to fill any gaps in DEM data if the LiDAR was unable to reach the ground. Slope and aspect are then calculated  through multiple Matlub functions creating two seperate filtered DTM tiles in Geotiff format.,"A quality report for each flight used in producing the data product, describing weather conditions and other data quality considerations during flight, is available for download via the L1 AOP LiDAR products. The L1 AOP LiDAR products also include uncertainty point clouds in LAZ format and processing quality report PDFs.",,N/A,[Document list; to be populated dynamically],To be auto-generated,,,
Gauge height,DP1.20267.001,The surface of the water in all aquatic sites is measured (m) using staff gauges to the nearest centimeter. (ie: 1.03m),"Water level at the staff gauge is documented before and after all aquatic protocols. It is measured by reading the value of the staff gauge at the surface of the water. The staff gauge is demarcated by thick black lines on the right and numbers on the left that indicate meter marks. Each line represents a measurement point on the top and bottom where the numbers correspond to the bottom of lines with a slanted edge. Half way points between numbers are designated by the top of a smaller, slanted line.  The elevation of the staff gauge is related to the elevation of permanent benchmarks installed nearby in order to establish vertical control at the site.  ",,"An example of a staff gauge at D02 Lewis Run, a NEON stream site.",N/A,,,Data recorded with a paper datasheet are automatically flagged using dataQF,Gauge height is an important variable used to determine discharge rating curves and continuous stream discharge.,This data product can be related to any other aquatic product by using siteID or locationID and collectDate.,,,"For a data product that can be used with so many other variables, the data relationships section (3.8) could use some more information. The reference to DSC protocol for how to read the staff gauge doesn't seem worth the effort to go find the other document because it doesn't really tell you how to read the staff gauge either. Just some tips for troubleshooting.",,
Groundwater and active layer measurements at permafrost sites,DP1.20099.001,Depth (m) to liquid water and depth (m) to thaw from the ground surface,"At the three aquatic permafrost sites, 8 shallow groundwater wells (screened-slotted PVC) are installed per site at inter-tussock locations surrounding the lake or stream reach. Each week, during the thaw season, the wells are pushed down to thaw depth. The distance to the frozen interface, to liquid water (if present), and to the ground surface from the top of the well casing are measured using a water level meter. A thaw probe is used to take 10 additional measurments of thaw depth from the ground surface from the 2m radius surrounding each well. Wells are removed at the end of the season, as they begin to freeze, and are replaced by a PVC plug.",,Key active layer measurements for D18/19 wells. A) Top of well to ground surface; B) Top of well to liquid water; C) Top of well to thaw.,The thaw probe and water tape are cleaned and calibrated regularly to ensure acurate function. **Minimal distrubance to the soil surrounding the wells is to be accomplished by standing downhll of the well or by maintaining the use of a boardwalk**,,N/A,Variable constraints at point of entry; review of data by lead technician/FE,N/A,This data product can be related to any other aquatic product by using siteID or locationID and collectDate.,,,,,
Depth profile at specific depths,DP1.20254.001,Temperature (˚C); dissolved oxygen (mg/L and % saturation); specific conductivity (µS/cm),"Vertical Profile measured once per day at the bouy location, during entirety of sampling season lakes and non-wadable streams anytime phytoplankton, zooplankton, pelagic microbes, or pelagic surface water chemistry samples are being collected. The measurement is taken from the bow of the boat with the engine off. A YSI probe is lowered through the entire water column, with temperature, DO, specific conductivity, and depth measured every 0.5m.",,,Handheld meters are calibrated to the manufacturer's specifications. Dissolved Oxygen is calibrated on site before use to account for local barometric pressure.,,N/A,"Any field data collected on paper data sheets should be digitally transcribed no more than 14 days after collection.  Variable contraints at points of entry including units, sampling practicality and remarks, ice presence, and Secchi Mean Depth constraints. dataQF field in each record is a quality flag for any known errors. ",Presence or absence of a thermocline calculated by the mobile app. The thermocline occurs where the rate of decrease in temperature with increasing depth is greatest (>1˚C per  1.0 m change in depth),dep_proﬁleHeader & dep_proﬁleData   joined by eventID,,,,,
Secchi depth,DP1.20252.001,Secchi Depth: depth to which light penetrates the water column (m),"Secchi depth measurements taken in lakes and non-wadable streams during ice-free periods anytime phytoplankton, zooplankton, pelagic microbes, or pelagic surface water chemistry samples are being collected. Secchi depth is measured once at the beginning of the day at bouy location, from the bow of the boat with the engine off. Sediments are allowed to settle for five minutes after anchoring. Secchi disk lowered  slowly until white quadrants disappear from view (depth= Secchi1), lowered another half meter, then slowly raised until white quadrants appear in view (depth=Secchi2). The mean of the two depths is taken to be the final Secchi Depth.",,,N/A,,N/A,"Any field data collected on paper data sheets should be digitally transcribed no more than 14 days after collection.  Variable contraints at points of entry including units, sampling practicality and remarks, ice presence, and Secchi Mean Depth constraints. dataQF field in each record is a quality flag for any known errors. ",N/A,N/A,,,,,
